,Feature,Gain Rate
0,10,2.7644855e-06
1,24,1.0875686e-05
2,26,3.084836e-05
3,27,3.4391753e-05
4,17,3.782589e-05
5,29,5.5346525e-05
6,46,6.636771e-05
7,18,7.085632e-05
8,32,8.5819884e-05
9,11,8.990462e-05
10,28,9.57174e-05
11,35,0.000107196094
12,5,0.000107196094
13,3,0.00012568072
14,19,0.00012593502
15,16,0.0001303442
16,36,0.00013168353
17,45,0.00013435971
18,21,0.0001453671
19,2,0.00016218315
20,20,0.00016884433
21,34,0.00017276508
22,15,0.00022145796
23,37,0.00023258325
24,8,0.0002556148
25,44,0.0002823842
26,4,0.00029623625
27,25,0.00030555538
28,33,0.0003976598
29,13,0.00040067686
30,9,0.0004055187
31,43,0.0004107381
32,23,0.00044127397
33,12,0.000474295
34,1,0.00048092715
35,0,0.00048092715
36,38,0.0004923657
37,41,0.0005995642
38,22,0.00070207927
39,42,0.00079829997
40,14,0.0008190521
41,31,0.00084268785
42,30,0.00086372346
43,6,0.0008825027
44,7,0.0021052207
45,40,0.0027745962
46,39,0.002793585
